title,url,hashtags
Imperial Black Halo: A sleek trophy mech reborn from LEGO 71796 Elemental Dragon vs. The Empress Mech,https://reactorcore.itch.io/71796-imperial-black-halo-lightning-trophy-mecha,#lego #mecha #altbuild #ninjago #afol
Sauron Scissor Hands: Sinister mech forged from LEGO 71793 Heatwave Transforming Lava Dragon,https://reactorcore.itch.io/71793-sauron-scissor-hands-mech,#lego #mecha #altbuild #ninjago #instructions
Highwalker Mech: A mining variant mech from LEGO 71790 Imperium Dragon Hunter Hound,https://reactorcore.itch.io/71790-highwalker-mech-mining-worker-variant,#lego #mecha #altbuild #ninjago #moc
Machine God Tangan: A divine warframe from LEGO 71775 Nya’s Samurai X MECH,https://reactorcore.itch.io/71775-machine-god-tangan-hyperion-mecha,#lego #mecha #altbuild #ninjago #afol
Crystal Vulture Flyer: A stealth drone sidebuild from LEGO 71775 Nya’s Samurai X MECH,https://reactorcore.itch.io/71775-sidebuild-crystal-vulture-flyer-droid,#lego #drone #altbuild #ninjago #mecha
Veritech Valkyrie: A transforming mecha reborn from LEGO 71772 The Crystal King,https://reactorcore.itch.io/71772-transforming-veritech-dark-crystal-valkyrie,#lego #valkyrie #altbuild #ninjago #transformer
Megazord Sensei: Fusion mech inspired by LEGO 71765 Ninja Ultra Combo Mech,https://reactorcore.itch.io/71765-combining-megazord-sensei-ultramech,#lego #megazord #ninjago #altbuild #mecha
Snake APU Walker: Agile side mech from LEGO 71765 Ninja Ultra Combo Mech,https://reactorcore.itch.io/71765-sidebuild-snake-apu-walker-mech,#lego #walker #altbuild #ninjago #mecha
Tauros Hydropump: A demolishing mech made from LEGO 71754 Water Dragon,https://reactorcore.itch.io/71754-tauros-hydropump-demolisher-mecha,#lego #mecha #altbuild #ninjago #water
R Type Booster: Side jet unit for LEGO 71754 Water Dragon,https://reactorcore.itch.io/71754-sidebuild-r-type-booster-for-water-dragon,#lego #booster #altbuild #ninjago #afol
Terror Shredder Mech: A fearsome alt build from LEGO 71742 Overlord Dragon,https://reactorcore.itch.io/71742-overlord-terror-shredder-mecha,#lego #mecha #ninjago #altbuild #shredder
Garam Artemis Tank: A standing mech from LEGO 31144 Exotic Pink Parrot,https://reactorcore.itch.io/31144-standing-tank-garam-artemis-mecha,#lego #mecha #creator3in1 #altbuild #tank
Spectrum Sentinel: A defense mech reimagined from LEGO 31140 Magical Unicorn,https://reactorcore.itch.io/31140-spectrum-sentinel-mech,#lego #mecha #creator3in1 #altbuild #sentinel
Hwarang Shield Mecha: Warrior mech with shield tech from LEGO 31124 Super Robot,https://reactorcore.itch.io/31124-hwarang-multimode-shield-mecha,#lego #mecha #creator3in1 #altbuild #robot
Dom Lieben Suit: Alt Gundam-style mech from LEGO 31133 White Rabbit,https://reactorcore.itch.io/31133-dom-lieben-mobile-suit-mecha,#lego #gundam #altbuild #creator3in1 #mecha
Osiris Interceptor: High-speed mech reborn from LEGO 31124 Super Robot,https://reactorcore.itch.io/31124-osiris-interceptor-mecha,#lego #interceptor #creator3in1 #mecha #altbuild
Chimera Multi Transformer: Complex shape-shifter from LEGO 31124 Super Robot,https://reactorcore.itch.io/31124-chimera-multi-transformer,#lego #transformer #creator3in1 #altbuild #mecha
Zaku Brutal Suit: Armored mobile suit from LEGO 31058 Mighty Dinosaurs,https://reactorcore.itch.io/31058-zaku-brutal-mobile-suit-mecha,#lego #gundam #altbuild #mecha #brutal
Kampfer Assault Suit: Classic mobile suit crafted from LEGO 4099 Robobots,https://reactorcore.itch.io/4099-kampfer-assault-mobile-suit,#lego #gundam #altbuild #mecha #afol
Games Are Need Satisfiers - How games fulfill emotional needs,https://docs.google.com/document/d/1JIuPw_kcbazTQX1hFxcadtWpvKi5tzdFKAS_UhCwihE,#GameDesign #Motivation #Needs #Gameplay #GameDev
Throwaway Games Are Band-Aid Approach - Why short-term games aren't real solutions,https://docs.google.com/document/d/1c9wKcBRcRfTSqCB--S1Ku8srhI4WFAG3_7iQLclssh0,#GameDesign #ShortTerm #GameDev #Critique #IndieDev
Future Of Games - Exploring what’s next in innovation,https://docs.google.com/document/d/12SoeTeaHkPPd9xF9koa4G1LZdSMrX9kd4jV7LkeoZhU,#Innovation #GameFuture #GameDev #Trends #Design
